Gene,TNBC1,TNBC2,TNBC3,TNBC4,TNBC5,TNBC6,TNBC7,TNBC8,TNBC9,TNBC10,Normal1,Normal2,Normal3,Normal4,Normal5,Normal6,Normal7,Normal8,Normal9,Normal10
ABCA2,8.399666707,32.5481418,47.10103533,27.76743807,28.67761377,51.8916059,12.18357989,14.06904784,44.25270336,20.21902307,54.51463289,52.75468693,77.37673393,95.34427153,78.87807058,50.10949587,81.41317381,48.77041484,98.44660926,87.62136549
ABCA3,101.8790521,60.2750538,52.15328487,74.49149251,251.5473109,38.18050761,28.64689262,56.38318032,110.7031337,33.16976988,69.96713171,43.17554641,62.70411746,65.10999886,96.49198456,44.5307707,65.50316183,50.04804992,80.36324668,50.31233072
ABCA4,0.722034387,0.793857117,5.915608646,5.371303065,0.048170684,3.630476159,14.0047428,1.273168588,0.142750656,7.796878179,7.191355224,1.332749986,1.837752563,1.529864569,1.988365156,3.119464664,2.23083373,3.744792467,1.740877264,0.411496707
ABCA5,9.891871108,9.274574613,22.31943154,48.71866114,31.90504958,19.81029824,14.89711263,2.599831654,12.40503201,8.788006761,29.33003143,39.73260895,48.44315757,58.26450316,30.05057528,45.86768413,46.45527383,37.51400925,18.99732314,50.86099299
ABCA6,1.660679091,2.323484245,1.215097992,0.83239492,7.7394232,4.598603135,3.205246727,2.878002942,0.984979526,3.766288612,15.70508775,70.55245236,22.96455603,54.29722724,26.14887762,21.91877817,27.33384185,35.57552844,3.046535211,63.72712337
ABCA7,6.402038235,10.82356411,38.30756302,5.544064275,11.9142158,5.034260274,3.35093976,7.435732509,8.093962195,7.268276268,18.15668612,12.99431236,12.65843966,20.71799645,23.91665636,12.60989949,9.070422858,10.48541891,25.26448129,11.08297798
ABCA8,0.890509078,0.832581855,0.447667681,0.282700161,2.793899661,0.653485709,3.824442117,0.213977914,0.12847559,0.330376194,36.19450687,258.0259503,50.11918791,253.3870605,98.59289868,61.2504411,132.4281737,88.9498352,12.42551147,313.2861596
ABCA9,0.57762751,1.258553966,0.703477785,1.067978387,5.363002798,1.718425382,2.148972237,0.374461349,0.256951181,0.792902866,18.54299859,148.407264,29.16880869,113.6507865,51.99762465,34.21508068,76.21606666,56.39216892,6.267158149,135.4921491
ABCB10,22.79221883,31.75428469,46.97313028,29.90339484,60.51843577,27.19226643,21.70826192,21.25870575,25.50954223,11.59620441,11.99054476,26.51617159,21.55316206,31.19367926,16.24456816,22.84306399,24.09790721,20.530274,12.88249175,20.19077176
ABCB1,2.647459421,1.413452916,0.703477785,0.769572661,1.734144617,2.843872991,3.223458356,2.096983556,0.542452493,1.585805731,21.91580363,7.635546793,15.71645992,3.656117021,7.615813711,28.22372791,6.864103784,26.74222386,18.95380121,11.11041109
ABCB5,0,0.193623687,0.063952526,0.062822258,0.112398262,0.072609523,2.221818754,0.053494478,0.014275066,0.033037619,4.531742445,4.331437453,1.352585887,2.618920703,6.809212752,5.166097565,1.838599228,8.216515237,0.478741248,3.017642518
ABCB6,26.11357701,21.14370663,35.04598419,40.41041751,51.81559889,49.30186624,30.72301834,19.62177471,35.30223723,58.7408873,20.69743353,45.72998388,24.34654596,46.9590633,41.84945909,15.9439305,27.8731643,22.82120586,39.47439195,38.51609178
ABCB7,27.00408609,25.19044169,9.528926359,17.16618202,13.29510873,26.38146009,24.8224505,22.79934673,41.55471596,39.14957899,24.29311114,29.29273406,27.84562684,34.46084766,25.99881232,26.29263074,24.8333469,26.76425205,24.54636942,32.70027165
ABCB8,29.69968114,18.60723633,36.48491603,29.7463392,34.44203893,12.39202529,10.67201467,27.71013985,14.2322404,39.97551948,26.72985134,22.18473414,15.68705588,22.1700713,30.35070587,14.90410895,22.55348386,17.68863736,42.67325393,21.09606452
ABCB9,7.364750752,16.90334789,5.467940965,15.10875307,2.842070345,36.78882508,4.024770038,6.954282203,4.653671385,20.45028641,4.858622228,1.999124978,5.969020326,1.866953372,5.439866937,6.255434432,6.349296,6.564400913,13.51355976,2.578712698
ABCC10,34.46510809,28.17224648,27.7873725,37.63053259,15.91238255,43.856152,19.0675757,27.65664538,23.42538265,33.59925893,17.10175591,14.71578109,22.96455603,14.28737928,15.49424169,16.67015508,14.24301535,19.03235701,27.00535855,11.68650648
ABCC11,3.176951305,0.116174212,1.055216677,0.031411129,1045.978228,5.239987257,0.072846517,0.139085644,0.057100262,0.52860191,20.54885181,0.027765625,13.12890431,0.440808435,143.256082,13.17107302,1.69151129,1.365747841,84.78072274,0.192031797
ABCC1,84.69463364,71.52459002,42.17669083,76.37616026,214.054462,86.05438656,80.73215193,76.18683625,50.04837999,58.90607539,43.2224222,126.2225299,56.99973351,64.2802418,71.26225687,38.17630565,80.60419015,64.69679692,50.35487485,78.32153991
ABCC3,8.255259829,15.62543155,4.44470055,1.382089678,67.29444529,20.24595538,14.5693033,5.028480977,8.664964819,1.288467157,30.17694723,12.60559361,16.24573266,6.975145238,53.94847348,17.72648174,27.67704704,12.51201248,30.29126439,10.75378061
ABCC4,13.52611086,8.71306592,3.229602558,1.507734194,40.88085367,15.17539035,29.77601363,36.07667629,21.21274748,1.784031448,6.463304798,12.35570299,5.189813239,4.485874075,9.979342104,6.304949744,7.158279661,4.493750961,5.440241449,6.117584378
ABCC5,49.89257617,45.44347937,52.8247864,82.83114727,12.05872785,60.3990217,50.42800106,55.25979627,49.37745191,15.03211683,34.61954064,62.66701495,45.6644757,28.10802022,33.35201177,39.64525991,40.44918301,39.62871558,28.68095292,31.90471135
ABCC6P2,0.192542503,0.464696849,6.587110168,0.973745,7.94816283,0.798704755,0.947004715,0.577740368,0.071375328,1.387580015,1.06978838,0.638609368,0.86741921,2.592990795,3.057580382,0.808750098,2.475980294,1.960508998,1.022765392,3.813202819
ABCC6,0.16847469,1.123017385,5.084225809,2.324423549,17.42173065,3.521561875,0.710253536,0.759621594,0.114200525,1.784031448,6.62674469,11.245078,7.82147491,41.04704428,26.95547858,6.420485472,27.72607636,20.2879639,12.25142374,37.9674295
ABCC9,7.461022003,4.395257698,21.26421486,2.497184759,13.63230352,11.35128879,19.99636878,0.877309447,3.397465613,8.358517709,12.5551553,179.5325293,19.43607111,192.9185151,25.45482563,33.45584589,82.24667213,46.4133984,3.00301328,193.8423821
ABCD1,67.91936804,44.63025988,44.70281561,18.20274928,47.19121325,25.13499661,21.67183866,30.30997151,41.58326609,21.87090404,11.41107606,43.67532765,12.07035884,71.98142447,32.6016853,9.47392972,21.59741226,12.37984333,16.86474849,30.47818944
ABCD2,1.444068775,0.774494748,0.575572733,0.062822258,1.316665358,1.101244435,0.928793086,1.283867484,0.471077165,0.198225716,1.233228272,33.26321839,7.130479946,109.86502,11.36744608,11.61959325,50.54922144,13.01866087,0.696350905,67.78722421
ABCD3,55.09122376,71.2922416,55.09510106,104.9288766,65.09465073,116.852926,40.53908644,106.4861089,63.66679257,92.70356004,140.677172,50.5889682,99.20923438,71.38503658,61.18912396,82.80610698,139.9296586,94.94150314,71.39772878,61.8068054
ABCD4,13.52611086,11.57869649,19.37761535,9.988739034,26.65444504,15.55053955,13.82262651,14.99985177,19.78524092,12.78555871,36.98198998,43.56426515,27.58099047,33.73481024,37.87272878,29.59365155,25.5687866,33.41676572,33.86006278,35.63561483
ABCE1,146.524845,84.47801469,92.85906761,76.7530938,138.490716,125.6386783,204.8079812,139.0963429,110.5318329,94.6858172,59.03151716,65.86006179,84.50721388,64.9025596,52.39154605,69.81659009,77.83403398,69.78530904,66.21861892,62.62979881
ABCF1,139.5692471,146.0503472,93.01894892,108.6353898,68.85196407,160.8785002,151.1018869,127.6378257,211.941899,119.4970694,75.55380437,72.44051484,70.40797621,89.84713104,83.68016001,68.84278896,77.36825551,68.81606864,90.98259799,83.78072956
ABCF2,86.76446555,66.91634627,76.58314977,80.88365727,102.073679,70.05608829,64.59664852,113.4938855,68.14916317,135.3220891,66.28230507,57.28048376,50.76607681,54.50466651,59.95108527,44.39872987,56.55531225,51.87638977,75.9022487,59.33782516
ABCF3,79.30344355,76.44263167,35.17388925,97.92419478,42.50260002,79.67685011,14.96995914,56.73624388,71.97488075,64.62158355,52.27104892,38.03890584,40.0777079,50.04472234,54.96141422,41.79092343,39.68922867,44.32072026,69.0910664,50.80612676
ABCG1,16.65492654,17.05824683,18.96192393,11.84199565,38.16723848,47.0751742,13.16700786,14.74307827,24.65303829,30.59283557,23.75821695,51.08874945,19.67130344,34.38305794,36.16573605,30.93056497,55.47666737,28.57056371,43.82658511,15.17051193
ABCG2,0.794237826,1.35536581,7.482445531,1.130800645,5.587799323,1.561104748,2.276453641,0.706127116,0.314051443,1.585805731,10.72760015,10.77306238,32.19742491,5.549000301,8.947643203,8.054490772,5.638370966,11.25640559,8.029796379,7.873303662
ABHD10,30.90307178,15.70288103,28.97049423,33.10733001,29.64102744,15.90148558,65.48901835,33.60523138,32.66135009,32.83939368,30.28095443,30.48665592,29.35993495,31.3233288,33.18318831,38.58893325,32.62900763,40.02522302,29.72547928,36.32144268
ABHD11,45.48816641,34.50374104,159.5935284,35.25899235,163.7000405,28.36612039,42.06886329,55.20630179,39.11367974,80.84305467,32.06393507,9.162656151,28.75715211,7.882692016,29.97554264,21.83625265,20.64134067,19.51697721,51.02946479,8.120201686
ABHD12,53.3102056,84.96207391,88.22250948,99.21205107,121.0850422,54.15460271,63.394681,109.3641118,79.3408146,184.2508034,51.45384946,80.38148351,30.69781882,42.65469858,73.15683122,40.75110188,53.61355349,40.48781503,51.07298672,56.26531641
ABHD13,15.40340026,15.60606918,16.81951431,48.95424461,45.61763757,66.97018355,32.12531378,27.65664538,15.70257216,18.13765305,23.31247179,25.90532785,30.109738,25.38537988,21.38430451,28.9829627,28.16734017,32.51360989,17.88751388,20.60226847
ABHD14A,4.139663821,10.24269305,41.88890447,8.198304679,7.354057729,6.208114232,11.63723101,5.595522449,5.738576371,9.085345335,14.9918955,15.65981233,8.894722407,22.76645918,22.54731054,10.08461857,13.6546636,13.56936565,18.69266962,21.09606452
ABHD14B,35.42782061,40.35117639,129.0561973,22.36472388,108.0307869,50.52412655,78.63781458,18.95844317,26.8085732,47.73936003,104.6609632,158.0141702,100.0325475,199.4787818,173.1753502,85.97508695,117.7193799,119.9434999,140.6628829,191.6751661
ABHD15,9.217972346,17.52294368,10.45623799,10.55413936,27.73025698,14.11045067,5.718451547,5.659715823,12.8618341,11.00152726,16.86402516,58.61323374,17.53951047,109.8131602,43.33135387,22.16635473,38.41446654,28.1079717,14.38399839,82.18960896
ABHD1,0.16847469,0.813219486,1.055216677,0.376933548,0.096341368,0.677688883,1.802951284,0.545643681,1.370406298,1.519730492,1.233228272,2.943156218,0.823313148,4.589593707,1.782025376,1.435944052,1.568938008,1.299663268,0.67458994,2.249515332
ABHD2,106.3556653,134.1424904,50.55447173,135.1463827,96.91941584,368.3965175,139.901735,68.53712583,163.1211746,98.31995534,97.32102627,138.4671704,186.3040039,126.6676003,117.7449819,199.0350496,207.3939929,155.9155358,88.02310664,147.7821841
ABHD3,25.46374606,17.92955343,58.22877483,18.43833275,98.36453635,23.11403155,13.64051022,11.79018306,17.3870299,13.67757443,15.98739302,23.4897185,10.80598507,24.16667421,22.9599901,16.22451727,15.83646802,11.78508218,15.27619799,14.704149
ABHD4,30.27730865,38.95708585,52.88873892,72.1513634,151.1917196,43.60201867,17.39210582,14.87146502,56.45788444,23.72101073,40.74110749,67.83142114,36.12286439,69.90703183,61.15160763,40.66857636,53.04971639,40.33361769,48.63575855,117.7703576
ABHD5,32.53968306,39.4798698,44.86269692,54.29413654,90.59299936,32.9889267,40.24770038,33.94759604,53.67424665,112.0305674,42.89554242,67.38717115,46.3848747,112.7173099,44.56939256,45.91719944,57.97716232,47.07424413,41.17174729,103.2856735
ABHD6,3.489832873,5.247201921,12.15097992,1.774728791,38.79345737,5.978184076,3.187035098,2.268165888,3.097689235,3.634138134,8.053129197,26.54393721,9.967969904,34.40898785,21.47809532,11.57007793,14.68427917,21.80790907,9.117844668,29.79236159
ABHD8,2.695595046,17.0776092,13.17422034,15.92544242,6.149790634,11.87165704,7.357498168,24.62885789,4.839247238,9.580909626,15.54164786,7.302359296,12.89367198,6.638056435,13.89979793,8.681684726,7.50148485,8.040289709,17.21292394,7.269775158
ABI1,126.5244925,67.36168075,98.45491363,86.38060485,148.5102182,101.5081134,111.9286726,84.61756606,63.33846606,97.92350391,55.07924342,78.88213977,74.93619853,62.88002678,56.12442026,87.411031,69.20487494,75.68886422,60.8871823,61.69707295
ABI2,40.53019695,33.98095709,42.7202873,95.23854324,19.41278558,60.48373281,148.1880262,145.451487,179.1948985,37.59681088,71.28950902,42.89789016,127.4077097,44.18456314,46.91416279,91.28973045,69.64613875,83.61901298,75.40174648,34.92235387
ABI3BP,14.39255212,4.95676639,2.909839929,0.565400323,24.42253669,10.91563165,20.90695024,6.002080486,5.752851436,4.195777664,50.33948657,451.5245889,45.45864741,121.3519692,93.62198579,60.55722673,102.299661,103.8629205,10.96752676,272.9046161
ABI3,11.21560082,11.36571043,10.23240414,4.680258227,5.250604536,11.27867927,3.077765323,13.20243729,5.438799993,5.51728244,16.38856366,11.16178113,5.674979916,8.193850912,13.44960205,11.20696564,6.790559815,8.789248203,13.60060362,8.120201686
ABL1,90.78379031,101.2264636,70.98730375,88.09251139,70.68245005,110.3785768,64.08672291,47.2249256,67.02143299,75.35880985,111.0202608,170.8141232,143.6093363,153.1938962,138.5852997,114.8755241,128.8490339,134.6142751,123.2541103,156.9722772
ABL2,72.01089624,84.01331784,76.71105482,108.2898674,55.84587944,83.58566277,139.5739256,35.38124807,69.80507078,174.9341947,44.09905435,67.91471802,55.73535974,52.97480194,36.27828502,51.38038888,57.95264766,53.59458867,21.23870262,58.95376156
ABLIM1,109.7732947,96.65694461,90.26899031,42.07520735,61.22493913,188.6879476,54.4527711,192.3019512,118.5258697,557.2785641,169.3534439,500.8918696,228.3076765,397.8685076,306.9960768,281.7256209,366.7882886,326.0392548,152.8055018,551.4330206
ABLIM2,3.128815679,5.440825608,1.790670725,3.172524033,3.163208237,3.58206981,2.312876899,3.808806868,2.14125984,2.510859074,6.329581251,3.415171838,2.264111158,2.774500151,6.208951572,2.756352375,2.353407012,5.705301465,4.286910262,6.309616175
ABLIM3,1.829153781,6.46703115,5.340035913,1.837551049,26.86318467,3.606272985,4.480060766,1.669027729,1.927133856,12.91770919,62.73120197,167.7043732,58.10238505,319.9491342,106.3775359,74.7351111,128.8245192,103.0478774,53.96719517,192.7999238
ABR,46.35460767,96.13416065,65.87110168,82.26574695,92.13446125,120.7375355,28.42835307,45.27772659,53.21744455,75.06147128,112.6992342,111.9787644,81.40508755,106.0792534,105.1019808,106.6559823,101.8338826,101.726186,120.5557505,84.13736004
ABT1,42.33528292,41.47419378,41.69704689,39.51520033,32.67578052,32.95262194,71.84487692,39.33983948,53.63142146,60.12846731,30.35524529,16.68714044,21.71488429,19.03255243,29.52534675,23.35472222,21.9161028,25.75095526,34.29528209,22.57745266
ABTB1,20.91492942,13.99899258,18.54623251,21.54803452,4.142678808,8.955174526,3.696960713,14.58259483,13.00458476,26.99173505,32.82170184,39.87143707,23.06747018,39.20602082,44.68194153,24.74115096,22.43091058,29.73805783,27.91931912,44.03014766
ABTB2,25.343407,23.71890167,15.06081985,38.82415549,8.95974719,17.81353635,43.25261918,24.13670869,31.17674327,26.00060647,3.194506969,3.081984342,9.600419391,4.537733891,7.20313415,4.04375049,8.089836603,4.846202017,10.96752676,5.26715785
ACAA1,73.35869376,57.64177165,57.62122584,24.95614202,99.16738108,56.68383443,16.64542902,46.87186205,120.7956051,81.33861897,93.42818522,71.10776486,50.78077883,102.4749962,111.2358998,58.36204789,70.0138586,65.33561446,117.052235,82.02501027
ACAA2,48.23189708,77.46883722,27.05191846,76.69027155,34.2332993,39.80212029,64.61486015,91.40066593,108.8331001,246.8570922,73.53309298,268.7434815,81.64031988,301.6166893,141.6053638,69.86610541,148.0930391,100.5146355,62.06227445,245.9378653
ACACA,79.78479981,82.71603914,65.74319663,87.07164969,820.1861764,119.9267291,88.45388268,52.93813591,94.00130697,141.3349358,92.99729824,129.2212174,108.2068709,274.2347065,107.4092348,79.45557085,133.6784212,97.7390834,90.37329095,166.7933319
ACACB,5.030172899,6.002334301,6.363276327,11.70064557,6.422757842,13.40855861,9.725009955,20.80935213,11.71982886,50.44844483,52.99909935,798.0951164,125.8639976,1473.492949,288.9694833,140.4419303,475.4617603,206.9768825,41.41111791,815.4493078
ACAD10,23.46611759,14.87029917,16.97939563,15.46998105,65.60847136,17.23266017,14.15043583,38.74070132,13.3186362,17.17956209,25.60063027,23.51748412,31.94749056,29.0414969,27.70580505,25.63242658,29.2214704,23.34988244,32.5761658,34.01706112
ACAD11,14.22407743,7.861121697,26.73215583,26.291115,8.847348928,14.71553003,31.30579047,11.37292613,10.62064881,6.211072447,24.07023856,39.06623395,24.50826819,91.06583672,29.93802631,24.98872752,43.78317628,31.30205939,13.55708169,86.66120651
ACAD8,11.81729614,19.5559924,15.66836885,57.62371622,66.0741213,20.94784744,10.63559141,27.63524758,12.77618371,35.35025276,32.91085087,25.79426535,35.09372295,31.11588954,30.05057528,29.74219748,27.28481254,27.8656616,37.08068572,24.58006997
ACAD9,66.64377396,55.08593898,58.7723713,103.688137,34.42598203,52.29095828,47.05884967,68.83669491,22.42612806,161.1244698,42.22692468,49.64493696,41.26857156,73.0704806,59.48213123,34.16556537,51.97107151,41.83153468,54.44593642,70.25620445
ACADL,0,1.35536581,1.918575777,1.664789839,63.23205096,0.072609523,13.05773809,0.213977914,0.970704461,0.264300955,1.589824399,20.15784353,3.631399065,34.72014674,12.81182454,4.406862779,17.60152328,6.850767396,0.870438632,36.65064004
ACADM,64.79055236,45.57901595,30.63325991,74.20879235,254.0682433,107.2563673,35.54910006,59.45376339,46.77938997,45.22850096,47.91760454,69.10863988,61.57206188,189.2105383,73.15683122,69.58551864,87.07605943,70.93077497,44.39237022,107.9767359
ACADSB,16.48645185,16.65163709,20.01714061,25.71000912,95.93994527,28.26930769,10.05281928,17.84575802,18.44338475,29.17221793,130.6627641,37.45582772,117.7190782,84.58335973,79.60963889,138.9234607,380.3694083,154.8141262,101.797798,76.97731733
ACADS,2.719662859,15.39308313,8.537662208,8.025543469,3.259549605,9.354526904,1.165544264,10.97706698,3.383190547,22.43254357,38.58667256,89.73849903,30.84483902,121.3260393,82.08571626,43.309393,54.03030264,37.51400925,34.0341505,84.93292034
ACADVL,133.0468698,169.6917994,355.4161627,126.8852557,118.9173614,171.4068811,63.34004611,107.3420205,116.6986613,220.5921847,418.5101293,409.2097768,282.3376018,431.1106496,418.0068787,274.1497781,303.6630485,295.8606331,342.6916894,429.6574284
ACAN,8.255259829,6.970452736,41.63309436,4.90013613,0.513820627,2.492926963,2.349300158,0.492149202,6.880581619,59.46771492,2.882485358,0.777437492,0.529272738,4.356224535,0.356405075,0.643699058,2.549524263,0.748958493,0.26113159,0.329197366
ACAP1,13.09289023,8.26773144,2.110433355,0.439755807,2.280079034,8.241180882,1.365872185,17.94204808,5.781401568,3.86540147,6.864475441,1.860296855,1.205565682,1.633584201,9.454113572,8.665179622,1.42185007,3.788848849,5.418480483,2.084916649
ACAP2,72.1312353,58.59052772,40.76973526,45.24773138,85.98467061,154.113713,33.91005344,31.74362353,25.00991493,75.68918605,42.09320114,91.68209276,66.01207208,90.52130865,51.64121957,81.04006084,85.82581196,81.74661674,30.44359115,83.53383153
